"TIME","COICOP","COICOP_LABEL","UNIT","GEO","Value","Flag and Footnotes"
"2009","TOTAL","Total","Percentage of total","European Union - 27 countries (from 2019)","100.0",""
"2009","TOTAL","Total","Current prices, million euro","European Union - 27 countries (from 2019)","5,845,008.4",""
"2009","TOTAL","Total","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","5,976,540.2",""
"2009","CP01","Food and non-alcoholic beverages","Percentage of total","European Union - 27 countries (from 2019)","13.2",""
"2009","CP01","Food and non-alcoholic beverages","Current prices, million euro","European Union - 27 countries (from 2019)","769,210.0",""
"2009","CP01","Food and non-alcoholic beverages","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","780,947.1",""
"2009","CP011","Food","Percentage of total","European Union - 27 countries (from 2019)","12.0",""
"2009","CP011","Food","Current prices, million euro","European Union - 27 countries (from 2019)","699,308.9",""
"2009","CP011","Food","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","709,732.7",""
"2009","CP012","Non-alcoholic beverages","Percentage of total","European Union - 27 countries (from 2019)","1.2",""
"2009","CP012","Non-alcoholic beverages","Current prices, million euro","European Union - 27 countries (from 2019)","69,901.1",""
"2009","CP012","Non-alcoholic beverages","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","71,222.9",""
"2009","CP02","Alcoholic beverages, tobacco and narcotics","Percentage of total","European Union - 27 countries (from 2019)","4.0",""
"2009","CP02","Alcoholic beverages, tobacco and narcotics","Current prices, million euro","European Union - 27 countries (from 2019)","236,329.4",""
"2009","CP02","Alcoholic beverages, tobacco and narcotics","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","248,302.7",""
"2009","CP021","Alcoholic beverages","Percentage of total","European Union - 27 countries (from 2019)","1.5",""
"2009","CP021","Alcoholic beverages","Current prices, million euro","European Union - 27 countries (from 2019)","88,366.0",""
"2009","CP021","Alcoholic beverages","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","90,401.1",""
"2009","CP022","Tobacco","Percentage of total","European Union - 27 countries (from 2019)","2.0",""
"2009","CP022","Tobacco","Current prices, million euro","European Union - 27 countries (from 2019)","117,509.8",""
"2009","CP022","Tobacco","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","127,091.9",""
"2009","CP023","Narcotics","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP023","Narcotics","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP023","Narcotics","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP03","Clothing and footwear","Percentage of total","European Union - 27 countries (from 2019)","5.0",""
"2009","CP03","Clothing and footwear","Current prices, million euro","European Union - 27 countries (from 2019)","293,040.8",""
"2009","CP03","Clothing and footwear","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","295,174.3",""
"2009","CP031","Clothing","Percentage of total","European Union - 27 countries (from 2019)","4.0",""
"2009","CP031","Clothing","Current prices, million euro","European Union - 27 countries (from 2019)","236,492.5",""
"2009","CP031","Clothing","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","237,952.8",""
"2009","CP032","Footwear","Percentage of total","European Union - 27 countries (from 2019)","1.0",""
"2009","CP032","Footwear","Current prices, million euro","European Union - 27 countries (from 2019)","56,548.2",""
"2009","CP032","Footwear","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","57,224.1",""
"2009","CP04","Housing, water, electricity, gas and other fuels","Percentage of total","European Union - 27 countries (from 2019)","23.6",""
"2009","CP04","Housing, water, electricity, gas and other fuels","Current prices, million euro","European Union - 27 countries (from 2019)","1,377,702.9",""
"2009","CP04","Housing, water, electricity, gas and other fuels","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","1,411,797.2",""
"2009","CP041","Actual rentals for housing","Percentage of total","European Union - 27 countries (from 2019)","4.4",""
"2009","CP041","Actual rentals for housing","Current prices, million euro","European Union - 27 countries (from 2019)","255,944.6",""
"2009","CP041","Actual rentals for housing","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","261,316.7",""
"2009","CP042","Imputed rentals for housing","Percentage of total","European Union - 27 countries (from 2019)","11.9",""
"2009","CP042","Imputed rentals for housing","Current prices, million euro","European Union - 27 countries (from 2019)","696,639.2",""
"2009","CP042","Imputed rentals for housing","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","710,800.0",""
"2009","CP043","Maintenance and repair of the dwelling","Percentage of total","European Union - 27 countries (from 2019)","1.1",""
